ArRId;ArRVersion;ArRCreated;ArRChanged;ArRName;ArRType;ArRPublicCode;ArRXEpsg2154;ArRYEpsg2154;ZdAId;ArRGeopoint;ArRTown;ArRPostalRegion;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns;ArRFareZone
463283;1025843-44579;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Pyramides;metro;-;651163;6863072;44579;48.86583012724184, 2.334292083151969;Paris 1er;75101;false;true;true;1
463292;1025977-917064;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Raspail;metro;-;650854;6860099;45314;48.839066127852114, 2.330414471235479;Paris 14e;75114;false;true;true;1
463258;1025544-44511;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Porte de Champerret;metro;-;648089;6865303;44511;48.885652392185875, 2.2921124821588443;Paris 17e;75117;false;true;true;1
463254;1025433-841085;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Place des Fêtes;metro;-;655490;6864249;44396;48.876723661025224, 2.3931393703604957;Paris 19e;75119;false;true;true;1
463255;1025447-45165;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Poissonnière;metro;-;652237;6864314;45165;48.87707970656252, 2.3487939912846385;Paris 9e;75109;false;true;true;1
463261;1025754-917063;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Porte de Versailles;metro;-;647715;6859398;49515;48.83251953156517, 2.2877417091423338;Paris 15e;75115;false;true;true;1
463234;1025511-44504;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Porte d'Auteuil;metro;-;645569;6861129;44504;48.84790412268101, 2.2582807445955355;Paris 16e;75116;false;true;true;1
463244;1025218-42237;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Opéra;metro;-;651007;6863611;42237;48.870665343707905, 2.332094129939855;Paris 9e;75109;false;true;true;1
463245;1025235-42237;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Opéra;metro;-;651041;6863573;42237;48.87032625990444, 2.332572085877117;Paris 2e;75102;false;true;true;1
463229;1025360-44316;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Pernety;metro;-;649961;6859561;44316;48.83416372002257, 2.318323659736017;Paris 14e;75114;false;true;true;1
463224;1025028-44057;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Maison Blanche;metro;-;652893;6858201;44057;48.82214950512655, 2.3584129461559384;Paris 13e;75113;false;true;true;1
463230;1025373-44332;2019-01-28T19:00:00-05:00;2021-05-04T13:56:37-04:00;Philippe Auguste;metro;-;655280;6862178;44332;48.85808942718759, 2.3904975967452877;Paris 11e;75111;false;true;true;1
462987;1021151-45056;2019-01-27T19:00:00-05:00;2021-05-04T13:56:37-04:00;Villiers;metro;-;649821;6864788;45056;48.8811539798124, 2.3157901685080913;Paris 8e;75108;false;true;true;1
462985;1238531-1244800;2019-01-27T19:00:00-05:00;2021-05-04T13:56:37-04:00;Pont de Levallois - Bécon;metro;-;647235;6866598;473676;48.897228315085286, 2.280303753186249;Levallois-Perret;92044;false;true;true;2
462981;1021047-43425;2019-01-27T19:00:00-05:00;2021-05-04T13:56:37-04:00;Jaurès;metro;-;653808;6864804;43425;48.88159622018392, 2.370153970336996;Paris 10e;75110;false;true;true;1
462999;1021336-45581;2019-01-27T19:00:00-05:00;2021-05-04T13:56:37-04:00;Laumière;metro;-;654483;6865199;45581;48.88520088594236, 2.379311779018099;Paris 19e;75119;false;true;true;1
462969;1020784-999333;2019-01-27T19:00:00-05:00;2021-05-04T13:56:37-04:00;Saint-Lazare;metro;-;650672;6864162;462374;48.87559481684895, 2.3274702373032774;Paris 9e;75109;false;true;true;1
462977;1020940-43252;2019-01-27T19:00:00-05:00;2021-05-04T13:56:37-04:00;Garibaldi;metro;-;651027;6867583;43252;48.906381079123804, 2.33190787263892;Saint-Ouen;93070;false;true;true;2
462970;1020793-999333;2019-01-27T19:00:00-05:00;2021-05-04T13:56:37-04:00;Saint-Lazare;metro;-;650525;6864149;462374;48.87546213438076, 2.3254668925871598;Paris 8e;75108;false;true;true;1
462971;1020818-999333;2019-01-27T19:00:00-05:00;2021-05-04T13:56:37-04:00;Saint-Lazare;metro;-;650453;6864094;462374;48.87496650008638, 2.3244924701707945;Paris 8e;75108;false;true;true;1
462948;1020708-44273;2019-01-27T19:00:00-05:00;2021-05-04T13:56:37-04:00;Pasteur;metro;-;649573;6860495;44273;48.842528386594964, 2.312914680473939;Paris 15e;75115;false;true;true;1
462956;1020415-42977;2019-01-27T19:00:00-05:00;2021-05-04T13:56:37-04:00;Exelmans;metro;-;645665;6860541;42977;48.84262446431167, 2.2596748602119487;Paris 16e;75116;false;true;true;1
478395;1158432-43548;2019-09-27T06:26:30-04:00;2021-05-04T13:56:16-04:00;La Fourche;metro;-;650533;6865473;43548;48.88736901756065, 2.3254149312970203;Paris 17e;75117;false;true;true;1
21960;1025811-44579;2014-12-28T19:00:00-05:00;2021-04-06T09:48:46-04:00;Pyramides;metro;-;651188;6863064;44579;48.86575552642865, 2.3346236060049224;Paris 1er;75101;true;true;true;1
480531;1228898-1097017;2021-01-19T16:02:30-05:00;2021-04-06T09:48:32-04:00;Porte de Clichy;metro;-;649659;6866255;473477;48.8943334833263, 2.3134040001862517;Paris 17e;75117;true;true;true;1
463165;1219361-1035238;2019-01-28T19:00:00-05:00;2021-04-06T09:45:24-04:00;Cour Saint-Emilion;metro;-;654974;6859426;45234;48.83331930289509, 2.386617850214057;Paris 12e;75112;true;true;true;1
21957;1219358-1098467;2014-12-28T19:00:00-05:00;2021-04-06T09:43:49-04:00;Bercy;metro;-;654435;6860190;58728;48.84014763417918, 2.379190908774286;Paris 12e;75112;true;true;true;1
21784;21784-44453;2014-12-29T10:31:51-05:00;2023-11-22T13:44:34-05:00;Pointe du Lac;metro;-;660627;6852206;44453;48.76875224766115, 2.464290193819997;Créteil;94028;false;unknown;unknown;3
483279;1368813-1370657;2021-12-12T19:00:00-05:00;2022-01-11T09:32:31-05:00;Bagneux - Lucie Aubrac;metro;-;649864;6856160;483280;48.80356581952587, 2.3173900542429124;Bagneux;92007;false;true;true;3
22171;1367122-42871;2014-12-28T19:00:00-05:00;2021-12-30T05:37:01-05:00;Dupleix;metro;-;648168;6861384;42871;48.85041162485849, 2.293663726731038;Paris 15e;75115;false;true;true;1
463289;1351941-44583;2019-01-28T19:00:00-05:00;2021-11-12T12:40:33-05:00;Quai de la Rapée;metro;-;653464;6860896;44583;48.84642732453155, 2.365884650750405;Paris 12e;75112;false;true;true;1
462982;1351602-43524;2019-01-27T19:00:00-05:00;2021-11-12T10:58:18-05:00;La Chapelle;metro;-;653098;6865130;43524;48.88447648246167, 2.3604303361621364;Paris 18e;75118;false;true;true;1
22244;1349573-43252;2014-12-28T19:00:00-05:00;2021-11-03T13:28:03-04:00;Garibaldi;metro;-;651031;6867582;43252;48.90637239097538, 2.331962553647661;Saint-Ouen;93070;false;true;true;2
22400;1348068-1348067;2014-12-28T19:00:00-05:00;2021-10-27T10:43:34-04:00;Villejuif - Louis Aragon;metro;-;653555;6854347;45049;48.78753717005025, 2.3678390117696195;Villejuif;94076;false;true;true;2
463269;1348065-1348067;2019-01-28T19:00:00-05:00;2021-10-27T10:43:14-04:00;Villejuif - Louis Aragon;metro;-;653546;6854351;45049;48.787572500184154, 2.367716899053842;Villejuif;94076;false;true;true;2
463317;1348052-1348050;2019-01-28T19:00:00-05:00;2021-10-27T10:35:08-04:00;Trinité - d'Estienne d'Orves;metro;-;651082;6864241;45170;48.87633650635933, 2.333049172418235;Paris 9e;75109;false;true;true;1
463302;1348037-854781;2019-01-28T19:00:00-05:00;2021-10-27T10:30:30-04:00;Saint-Denis - Université;metro;-;653453;6871950;44860;48.94583071644833, 2.3645307740428616;Saint-Denis;93066;false;true;true;2
463037;1348017-1348015;2019-01-27T19:00:00-05:00;2021-10-27T10:26:14-04:00;Richelieu - Drouot;metro;-;651474;6863716;44642;48.87164050918835, 2.3384603609547767;Paris 2e;75102;false;true;true;1
22098;1348007-1348006;2014-12-28T19:00:00-05:00;2021-10-27T10:23:22-04:00;Reuilly - Diderot;metro;-;655029;6860971;44637;48.84721292574974, 2.3872010704093913;Paris 12e;75112;false;true;true;1
463285;1347988-44310;2019-01-28T19:00:00-05:00;2021-10-27T10:18:14-04:00;Père Lachaise;metro;-;655069;6862665;44310;48.86244984398934, 2.3875798912544446;Paris 11e;75111;false;true;true;1
22020;1347986-44310;2014-12-28T19:00:00-05:00;2021-10-27T10:18:01-04:00;Père Lachaise;metro;-;654966;6862723;44310;48.86296417340606, 2.386157046298337;Paris 11e;75111;false;true;true;1
22050;1347980-44210;2014-12-28T19:00:00-05:00;2021-10-27T10:15:29-04:00;Notre-Dame-de-Lorette;metro;-;651436;6864205;44210;48.876035030332574, 2.3378736192226373;Paris 9e;75109;false;true;true;1
22038;1347968-1238298;2014-12-28T19:00:00-05:00;2021-10-27T10:10:54-04:00;Montparnasse Bienvenue;metro;-;650387;6860632;58578;48.84382361030622, 2.3239891852050025;Paris 15e;75115;false;true;true;1
462996;1347967-1238298;2019-01-27T19:00:00-05:00;2021-10-27T10:10:38-04:00;Montparnasse Bienvenue;metro;-;650416;6860642;58578;48.84391578764693, 2.3243858698057775;Paris 6e;75106;false;true;true;1
463238;1347962-44138;2019-01-28T19:00:00-05:00;2021-10-27T10:08:43-04:00;Michel-Ange - Auteuil;metro;-;645974;6861103;44138;48.847708931220076, 2.263809322022662;Paris 16e;75116;false;true;true;1
463236;1347956-44113;2019-01-28T19:00:00-05:00;2021-10-27T10:06:06-04:00;Marx Dormoy;metro;-;653057;6865809;44113;48.890579577619285, 2.359808478084023;Paris 18e;75118;false;true;true;1
22053;1347955-44113;2014-12-28T19:00:00-05:00;2021-10-27T10:06:00-04:00;Marx Dormoy;metro;-;653068;6865812;44113;48.890607291838684, 2.3599458831780322;Paris 18e;75118;false;true;true;1
462974;1347954-1347950;2019-01-27T19:00:00-05:00;2021-10-27T10:03:34-04:00;Marcadet - Poissonniers;metro;-;652306;6865893;44075;48.89127969818855, 2.3495451670385625;Paris 18e;75118;false;true;true;1
22132;1347952-1347950;2014-12-28T19:00:00-05:00;2021-10-27T10:03:19-04:00;Marcadet - Poissonniers;metro;-;652316;6865893;44075;48.89128043889656, 2.349681541722476;Paris 18e;75118;false;true;true;1
22052;1347951-1347950;2014-12-28T19:00:00-05:00;2021-10-27T10:03:11-04:00;Marcadet - Poissonniers;metro;-;652338;6865912;44075;48.89145292770676, 2.3499794329782016;Paris 18e;75118;false;true;true;1
